Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hayden, Benjamin Y; Pearson, John M; Platt, Michael L; ",Fictive reward signals in the anterior cingulate cortex,science,324,5929,948-950,2009,American Association for the Advancement of Science
"Hayden, Benjamin Y; Heilbronner, Sarah R; Pearson, John M; Platt, Michael L; ",Surprise signals in anterior cingulate cortex: neuronal encoding of unsigned reward prediction errors driving adjustment in behavior,The Journal of Neuroscience,31,11,4178-4187,2011,Soc Neuroscience
"Hayden, Benjamin Y; Pearson, John M; Platt, Michael L; ",Neuronal basis of sequential foraging decisions in a patchy environment,Nature neuroscience,14,7,933-939,2011,Nature Publishing Group
"Pearson, John M; Hayden, Benjamin Y; Raghavachari, Sridhar; Platt, Michael L; ",Neurons in posterior cingulate cortex signal exploratory decisions in a dynamic multioption choice task,Current biology,19,18,1532-1537,2009,Elsevier
"Pearson, John M; Heilbronner, Sarah R; Barack, David L; Hayden, Benjamin Y; Platt, Michael L; ",Posterior cingulate cortex: adapting behavior to a changing world,Trends in cognitive sciences,15,4,143-151,2011,Elsevier
"Pearson, John; Roitman, JD; Brannon, EM; Platt, ML; Raghavachari, Sridhar; ",A physiologically-inspired model of numerical classification based on graded stimulus coding,Neuroeconomics,,,36,2010,Frontiers E-books
"Pearson, John; Hayden, Benjamin; Platt, Michael; ",Explicit information reduces discounting behavior in monkeys,Frontiers in psychology,1,,237,2010,Frontiers
"Adams, Geoffrey K; Watson, Karli K; Pearson, John; Platt, Michael L; ",Neuroethology of decision-making,Current opinion in neurobiology,22,6,982-989,2012,Elsevier Current Trends
"Yorzinski, Jessica L; Patricelli, Gail L; Babcock, Jason S; Pearson, John M; Platt, Michael L; ",Through their eyes: selective attention in peahens during courtship,Journal of Experimental Biology,216,16,3035-3046,2013,The Company of Biologists Ltd
"Pearson, John; Platt, Michael L; ",Confidence and corrections: how we make and un-make up our minds,Neuron,63,6,724-726,2009,Elsevier
"Pearson, John M; Hayden, Benjamin Y; Platt, Michael L; ",A Role for Posterior Cingulate Cortex in Policy Switching and Cognitive Control,Neural Basis of Motivational and Cognitive Control,,,127,2011,MIT Press
"Chang, Steve WC; Brent, Lauren JN; Adams, Geoffrey K; Klein, Jeffrey T; Pearson, John M; Watson, Karli K; Platt, Michael L; ",Neuroethology of primate social behavior,Proceedings of the National Academy of Sciences,110,Supplement 2,10387-10394,2013,National Acad Sciences
"San Martín, René; Appelbaum, Lawrence G; Pearson, John M; Huettel, Scott A; Woldorff, Marty G; ",Rapid brain responses independently predict gain maximization and loss minimization during economic decision making,The Journal of Neuroscience,33,16,7011-7019,2013,Society for Neuroscience
"Addicott, Merideth A; Pearson, John M; Wilson, Jessica; Platt, Michael L; McClernon, F Joseph; ",Smoking and the bandit: A preliminary study of smoker and nonsmoker differences in exploratory behavior measured with a multiarmed bandit task.,Experimental and clinical psychopharmacology,21,1,66,2013,American Psychological Association
"Pearson, John M; Platt, Michael L; ",Dopamine: burning the candle at both ends,Neuron,79,5,831-833,2013,Cell Press
